ILOC_CODE_2016,OH_R_Tot_DS_SH,OH_R_Tot_DS_SDRTHT,OH_R_Tot_DS_FA,OH_R_Tot_DS_OD_C,OH_R_Tot_DS_OD_CH,OH_R_Tot_DS_OD_IH_t_SO,OH_R_Tot_OD_HF_a_SO,OH_R_Tot_DS_OD_Tot,OH_R_Tot_DS_NS,OH_R_Tot_DS_Tot,OH_OTT_DS_SH,OH_OTT_DS_SDRTHT,OH_OTT_DS_FA,OH_OTT_DS_OD_C,OH_OTT_DS_OD_CH,OH_OTT_DS_OD_IH_t_SO,OH_OTT_OD_HF_a_SO,OH_OTT_DS_OD_Tot,OH_OTT_DS_NS,OH_OTT_DS_Tot,OH_T_NS_DS_SH,OH_T_NS_DS_SDRTHT,OH_T_NS_DS_FA,OH_T_NS_DS_OD_C,OH_T_NS_DS_OD_CH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_C,OH_Tot_DS_OD_CH,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FA,T_h_OO_DS_OD_C,T_h_OO_DS_OD_CH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FA,T_h_M_DS_OD_C,T_h_M_DS_OD_CH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FA,T_h_RREA_DS_OD_C,T_h_RREA_DS_OD_CH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FA,T_h_RHA_DS_OD_C,T_h_RHA_DS_OD_CH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FA,T_h_R_PSH_DS_OD_C,T_h_R_PSH_DS_OD_CH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FA,T_h_R_HCC_DS_OD_C,T_h_R_HCC_DS_OD_CH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FA,T_h_R_OLT_DS_OD_C,T_h_R_OLT_DS_OD_CH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FA,T_h_R_LNS_DS_OD_C,T_h_R_LNS_DS_OD_CH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FA,T_h_R_Tot_DS_OD_C,T_h_R_Tot_DS_OD_CH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FA,T_h_OTT_DS_OD_C,T_h_OTT_DS_OD_CH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FA,T_h_T_NS_DS_OD_C,T_h_T_NS_DS_OD_CH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FA,T_h_Tot_DS_OD_C,T_h_Tot_DS_OD_CH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
ILOC10700305,198,11,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,35,749,13,0,0,0,0,3,4,3,766,230,0,0,0,0,0,0,0,0,227,321,0,0,0,0,0,3,3,0,321,100,3,0,0,0,0,0,0,0,101,80,8,0,0,0,0,0,0,0,89,44,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,6,231,8,0,0,0,0,0,0,0,250,3,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,31,809,10,0,0,0,0,3,4,3,835
ILOC10700306,2362,553,109,0,0,0,0,0,19,3045,38,15,0,0,0,0,0,0,0,51,237,41,3,0,0,0,0,0,9,284,8645,1147,121,0,0,0,3,3,37,9950,2290,90,4,0,0,0,0,0,0,2384,3815,458,5,0,0,0,3,3,6,4288,1330,303,67,0,0,0,0,0,12,1713,820,202,26,0,0,0,0,0,0,1043,387,66,18,0,0,0,0,0,9,479,27,5,4,0,0,0,0,0,0,36,38,4,4,0,0,0,0,0,0,42,34,4,0,0,0,0,0,0,0,41,2639,582,110,0,0,0,0,0,19,3355,41,13,0,0,0,0,0,0,0,55,255,41,3,0,0,0,0,0,9,308,9045,1181,120,0,0,0,3,3,37,10387
ILOC10700307,214,68,47,0,0,0,0,0,0,322,3,0,3,0,0,0,0,0,0,5,11,0,4,0,0,0,0,0,0,19,492,87,50,0,0,0,0,0,0,634,128,12,0,0,0,0,0,0,0,141,153,8,3,0,0,0,0,0,0,166,107,47,11,0,0,0,0,0,0,171,103,16,36,0,0,0,0,0,0,155,28,3,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,8,249,70,47,0,0,0,0,0,0,364,3,0,3,0,0,0,0,0,0,5,16,0,4,0,0,0,0,0,0,18,548,94,57,0,0,0,0,0,0,696
ILOC10700308,616,68,0,0,0,0,0,0,0,685,6,0,0,0,0,0,0,0,0,6,50,5,0,0,0,0,0,0,0,54,2534,150,0,0,0,0,0,4,0,2688,375,11,0,0,0,0,0,0,0,386,1526,69,0,0,0,0,0,0,0,1596,429,51,0,0,0,0,0,0,0,481,107,5,0,0,0,0,0,0,0,119,108,11,0,0,0,0,0,0,0,117,6,3,0,0,0,0,0,0,0,12,10,3,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,9,674,74,0,0,0,0,0,0,0,749,9,0,0,0,0,0,0,0,0,9,49,5,0,0,0,0,0,0,0,52,2626,153,0,0,0,0,0,4,0,2783
ILOC10700309,801,157,0,0,0,0,3,3,9,974,20,16,0,0,0,0,0,0,0,37,74,16,0,0,0,0,0,0,3,91,3769,378,0,0,0,0,3,3,11,4164,795,49,0,0,0,0,0,0,0,840,2167,144,0,0,0,0,3,3,0,2315,605,112,0,0,0,0,3,3,5,725,27,8,0,0,0,0,0,0,0,30,190,29,0,0,0,0,0,0,0,214,21,13,0,0,0,0,0,0,0,31,19,7,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,12,863,166,0,0,0,0,3,3,9,1042,20,16,0,0,0,0,0,0,0,37,75,16,0,0,0,0,0,0,3,92,3921,386,0,0,0,0,3,3,11,4326
ILOC10700310,425,63,16,0,0,0,0,0,0,501,10,0,0,0,0,0,0,0,0,10,53,0,0,0,0,0,0,0,0,60,1231,65,21,0,0,0,0,0,3,1320,346,0,0,0,0,0,0,0,0,345,434,3,0,0,0,0,0,0,0,437,240,3,0,0,0,0,0,0,0,246,163,53,15,0,0,0,0,0,0,236,69,5,0,0,0,0,0,0,0,80,3,6,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,8,492,68,17,0,0,0,0,0,0,581,10,0,0,0,0,0,0,0,0,10,55,3,0,0,0,0,0,0,0,64,1334,74,19,0,0,0,0,0,3,1437
ILOC10700311,651,97,8,0,3,3,0,7,9,763,20,10,5,0,0,0,0,0,0,26,84,16,3,0,0,0,0,0,0,104,4040,226,22,0,3,3,3,12,13,4312,1488,34,6,0,0,0,0,0,0,1528,1860,83,0,0,0,0,3,3,3,1948,483,54,4,0,0,3,0,3,3,542,66,9,0,0,0,0,0,0,0,76,115,7,0,0,0,0,0,4,6,135,3,22,0,0,0,0,0,0,0,22,4,3,0,0,0,0,0,0,0,9,11,4,0,0,0,0,0,0,0,16,688,92,8,0,3,3,0,7,9,806,20,10,5,0,0,0,0,0,0,26,89,16,3,0,0,0,0,0,0,105,4136,229,22,0,3,3,3,12,13,4406
ILOC10700312,1311,166,334,0,0,5,15,18,10,1845,29,5,5,0,0,0,0,0,0,34,132,8,29,0,0,0,0,0,3,179,3751,241,437,0,0,5,15,19,18,4463,1015,12,6,0,0,0,0,0,0,1038,1308,42,62,0,0,0,0,0,0,1414,733,52,133,0,0,0,10,8,11,934,409,90,189,0,0,0,0,0,0,691,224,11,15,0,0,0,3,7,0,263,7,12,3,0,0,0,0,0,0,27,23,0,0,0,0,0,0,0,0,26,26,3,7,0,0,0,0,3,0,34,1422,174,344,0,0,5,15,18,10,1977,30,5,5,0,0,0,0,0,0,37,142,8,28,0,0,0,0,0,7,189,3920,246,448,0,0,5,15,19,18,4654
ILOC10700313,538,38,78,0,0,7,0,11,3,656,10,0,3,0,0,0,0,0,0,12,50,3,3,0,0,0,0,0,0,60,1156,46,85,0,0,7,0,11,3,1297,273,0,0,0,0,0,0,0,0,273,327,8,0,0,0,0,0,0,0,338,262,3,4,0,0,5,0,12,0,280,353,28,84,0,0,0,0,0,0,470,36,0,0,0,0,0,0,0,0,42,3,3,0,0,0,0,0,0,0,9,8,0,3,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,13,674,38,96,0,0,9,0,11,3,817,14,0,3,0,0,0,0,0,0,15,59,3,3,0,0,0,0,0,0,65,1353,48,105,0,0,9,0,11,3,1513
ILOC10700314,808,186,103,0,0,3,3,7,7,1109,15,4,0,0,0,0,0,0,0,20,75,26,3,0,0,0,0,0,0,107,2522,491,108,0,0,3,3,7,13,3136,784,76,0,0,0,0,0,0,0,861,881,199,0,0,0,0,0,0,5,1082,459,104,4,0,0,0,3,3,5,579,263,55,95,0,0,0,0,0,0,408,130,29,0,0,0,0,0,0,0,165,0,3,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,8,880,200,100,0,0,3,3,7,7,1192,15,4,0,0,0,0,0,0,0,22,81,31,3,0,0,0,0,0,0,109,2638,508,110,0,0,3,3,7,13,3266
ILOC10700315,1290,841,1024,0,0,11,9,17,10,3187,22,3,4,0,0,0,0,0,0,27,121,51,46,0,0,0,0,0,4,217,3931,1537,1319,0,0,7,6,18,16,6828,1162,133,80,0,0,0,0,0,0,1374,1437,507,175,0,0,0,0,3,5,2130,752,598,783,0,0,4,0,11,6,2154,411,167,164,0,0,0,0,0,0,744,231,74,67,0,0,0,3,9,0,376,28,7,22,0,0,0,0,0,0,58,36,13,4,0,0,0,0,0,0,61,23,5,6,0,0,0,0,0,0,42,1479,873,1055,0,0,12,9,18,10,3429,25,3,4,0,0,0,0,0,0,31,131,53,53,0,0,0,0,0,4,243,4222,1571,1364,0,0,10,6,18,16,7203
ILOC10700316,1244,363,19,0,0,0,0,0,4,1633,19,4,0,0,0,0,0,0,0,25,136,16,0,0,0,0,0,0,3,158,6980,1971,44,0,0,0,0,0,16,9017,1733,410,5,0,0,0,0,0,0,2149,3914,1194,28,0,0,0,0,0,6,5140,1000,300,12,0,0,0,0,0,0,1317,11,12,0,0,0,0,0,0,0,26,204,56,5,0,0,0,0,0,3,263,24,0,0,0,0,0,0,0,0,24,38,7,0,0,0,0,0,0,0,44,7,3,0,0,0,0,0,0,0,8,1283,374,19,0,0,0,0,0,4,1679,25,4,0,0,0,0,0,0,0,27,134,16,0,0,0,0,0,0,3,159,7086,2000,44,0,0,0,0,0,16,9148
ILOC10700317,1019,996,189,0,0,0,3,3,23,2235,12,27,0,0,0,0,0,0,0,41,86,49,4,0,0,0,0,0,13,158,3781,3877,431,0,0,0,3,3,65,8156,945,765,34,0,0,0,0,0,10,1751,1756,2079,207,0,0,0,0,0,17,4066,793,770,164,0,0,0,3,3,21,1749,91,101,11,0,0,0,0,0,0,208,174,131,19,0,0,0,0,0,3,324,4,14,0,0,0,0,0,0,0,24,13,13,0,0,0,0,0,0,0,28,12,11,0,0,0,0,0,0,0,25,1092,1035,201,0,0,0,3,3,20,2352,17,34,0,0,0,0,0,0,0,51,98,53,4,0,0,0,0,0,13,163,3910,3967,441,0,0,0,3,3,63,8383
ILOC10700318,692,347,33,0,0,3,11,12,6,1089,17,3,0,0,0,0,0,0,0,24,82,11,0,0,0,0,0,0,0,97,2965,729,47,0,0,0,17,22,8,3771,953,58,0,0,0,0,0,0,0,1010,1260,315,11,0,0,0,6,8,3,1595,498,244,11,0,0,0,8,8,0,768,70,34,22,0,0,0,0,0,0,127,151,54,3,0,0,3,0,3,0,210,3,6,0,0,0,0,0,0,0,9,16,5,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,13,748,345,33,0,0,3,11,12,6,1147,17,3,0,0,0,0,0,0,0,24,88,11,0,0,0,0,0,0,0,103,3066,740,52,0,0,0,17,22,8,3881
ILOC10700319,636,125,27,0,0,0,0,0,4,788,3,0,0,0,0,0,0,0,0,3,49,7,3,0,0,0,0,0,0,58,1356,130,26,0,0,0,0,0,4,1516,323,0,0,0,0,0,0,0,0,319,386,0,0,0,0,0,0,0,0,386,253,3,3,0,0,0,0,0,0,259,443,125,23,0,0,0,0,0,0,595,56,0,0,0,0,0,0,0,0,63,3,11,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,8,769,149,25,0,0,0,0,0,4,950,9,0,0,0,0,0,0,0,0,9,60,7,3,0,0,0,0,0,0,72,1546,155,32,0,0,0,0,0,5,1732
ILOC10700320,798,91,73,0,0,8,6,11,3,979,49,0,0,0,0,0,0,0,0,48,79,4,7,0,0,0,0,0,3,96,2545,136,80,0,0,8,6,10,15,2783,412,7,0,0,0,0,0,0,0,427,1253,33,0,0,0,0,0,0,3,1289,496,61,10,0,0,7,4,6,0,573,345,20,66,0,0,0,3,3,0,438,69,4,0,0,0,3,0,3,3,76,12,7,0,0,0,0,0,0,0,17,14,8,0,0,0,0,0,0,3,29,9,0,0,0,0,0,0,0,0,7,948,97,77,0,0,10,4,15,3,1143,50,0,0,0,0,0,0,0,0,51,84,4,7,0,0,0,0,0,3,102,2757,144,88,0,0,10,5,16,15,3011
ILOC10700401,547,129,10,0,0,0,0,0,0,688,4,6,0,0,0,0,0,0,0,11,53,7,0,0,0,0,0,0,0,67,4227,253,19,0,0,0,0,0,7,4506,1830,85,3,0,0,0,0,0,3,1928,1860,28,3,0,0,0,0,0,5,1890,367,60,8,0,0,0,0,0,0,439,37,39,0,0,0,0,0,0,0,71,140,15,3,0,0,0,0,0,0,159,12,16,0,0,0,0,0,0,0,25,11,0,0,0,0,0,0,0,0,13,5,3,0,0,0,0,0,0,0,8,575,133,12,0,0,0,0,0,0,722,10,6,0,0,0,0,0,0,0,10,55,7,0,0,0,0,0,0,0,71,4338,260,22,0,0,0,0,0,7,4620
ILOC10700402,1186,97,16,0,0,0,3,7,14,1314,35,87,0,0,0,0,0,0,0,118,160,10,0,0,0,0,0,0,3,176,8768,273,22,4,0,5,10,23,35,9117,3633,59,3,3,0,4,0,9,9,3713,3934,25,0,0,0,0,3,8,6,3971,831,65,5,0,0,0,0,0,4,914,37,9,4,0,0,0,0,0,0,51,345,9,0,0,0,0,0,0,3,356,15,9,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,4,3,31,15,0,0,0,0,0,0,0,3,16,1259,102,16,0,0,0,3,7,14,1396,35,88,0,0,0,0,0,0,0,124,160,10,0,0,0,0,0,0,3,182,9030,276,22,4,0,5,10,23,35,9383
ILOC10700403,1239,223,319,3,0,0,13,11,13,1814,41,25,0,0,0,0,0,0,0,66,146,13,27,0,0,0,0,0,9,194,6382,428,400,3,3,0,17,21,43,7283,2794,135,32,0,0,0,3,0,15,2978,2241,31,32,0,0,0,3,8,11,2315,846,89,197,0,0,0,6,5,3,1148,77,79,61,0,0,0,0,0,0,222,348,33,32,0,0,0,0,0,10,425,23,25,27,0,0,0,0,0,0,77,17,3,6,0,0,0,3,3,3,37,31,3,4,0,0,0,0,0,0,38,1340,237,334,3,0,0,12,14,13,1940,38,25,3,0,0,0,0,0,0,71,161,18,27,0,0,0,0,0,9,209,6574,446,424,3,3,0,22,25,43,7517
ILOC10700404,504,29,47,0,0,0,0,0,3,588,22,0,0,0,0,0,0,0,0,21,64,4,0,0,0,0,0,0,3,69,3783,64,59,0,0,0,0,0,9,3914,1422,22,12,0,0,0,0,0,0,1453,1895,5,0,0,0,0,0,0,3,1902,357,20,22,0,0,0,0,0,3,400,19,10,12,0,0,0,0,0,0,41,139,3,4,0,0,0,0,0,0,149,6,3,6,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,4,14,0,3,0,0,0,0,0,0,19,543,32,47,0,0,0,0,0,3,631,22,0,0,0,0,0,0,0,0,21,62,4,0,0,0,0,0,0,3,69,3940,69,61,0,0,0,0,0,9,4075
ILOC10700405,334,158,48,0,0,0,3,3,12,553,11,22,0,0,0,0,0,0,0,25,42,18,0,0,0,0,0,0,0,61,2475,347,65,0,0,0,3,3,15,2902,995,112,3,0,0,0,0,0,0,1111,1141,45,9,0,0,0,0,0,0,1194,225,91,29,0,0,0,3,3,3,354,0,11,3,0,0,0,0,0,0,17,99,27,6,0,0,0,0,0,4,130,5,37,16,0,0,0,0,0,0,55,7,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,8,345,163,52,0,0,0,3,3,12,567,11,21,0,0,0,0,0,0,0,31,46,18,0,0,0,0,0,0,0,64,2536,352,65,0,0,0,3,3,15,2965
ILOC10700501,861,801,5115,0,0,0,78,84,43,6910,34,19,51,0,0,0,0,0,0,99,149,59,262,0,0,0,6,6,10,486,5334,2074,8417,0,0,5,111,119,70,16008,2453,453,1051,0,0,3,11,10,10,3976,1915,774,1972,0,0,3,14,16,10,4681,557,285,3752,0,0,0,62,60,25,4692,105,455,795,0,0,0,0,0,0,1360,201,73,513,0,0,0,22,23,15,815,25,14,38,0,0,0,0,0,0,83,17,25,98,0,0,0,3,3,4,145,19,14,36,0,0,0,0,0,0,65,931,867,5228,0,0,0,82,87,43,7154,36,19,51,0,0,0,0,0,0,103,152,64,270,0,0,0,6,6,10,497,5483,2175,8571,0,0,5,114,118,70,16424
ILOC10700601,4059,559,102,0,10,7,4,22,28,4770,96,119,13,0,0,0,0,0,0,234,350,82,19,0,0,0,0,3,7,463,22185,1394,190,13,31,9,12,70,81,23918,5610,305,40,15,24,3,0,39,24,6018,12584,348,20,0,0,0,3,6,16,12973,3221,397,65,0,0,0,0,0,19,3704,237,80,31,0,0,0,0,0,0,341,669,67,11,0,0,3,3,6,5,761,29,22,0,0,0,0,0,0,3,54,115,4,0,0,10,3,0,10,0,127,56,5,0,0,0,0,0,0,4,64,4323,584,107,0,10,7,4,22,31,5061,99,121,13,0,0,0,0,0,0,233,378,81,19,0,0,0,0,3,7,485,22990,1433,195,12,37,9,12,71,82,24775
ILOC10700701,467,180,0,0,0,0,0,0,0,646,5,6,0,0,0,0,0,0,0,12,18,8,0,0,0,0,0,0,3,29,533,193,0,0,0,0,0,0,3,737,21,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,20,26,0,0,0,0,0,0,0,0,26,549,223,3,0,0,0,0,0,0,774,13,0,0,0,0,0,0,0,0,13,11,6,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,6,600,230,3,0,0,0,0,0,0,835,9,6,0,0,0,0,0,0,0,11,26,14,0,0,0,0,0,0,3,41,684,245,3,0,0,0,0,0,3,939
ILOC10700702,763,149,78,0,0,0,0,0,0,993,25,0,0,0,0,0,0,0,0,26,67,10,5,0,0,0,0,0,0,79,3201,228,98,0,0,0,3,3,3,3528,977,23,8,0,0,0,0,0,0,1013,1431,42,17,0,0,0,0,0,0,1487,426,62,70,0,0,0,0,0,0,555,297,106,3,0,0,0,0,0,0,404,101,16,9,0,0,0,0,0,0,119,12,3,0,0,0,0,0,0,0,11,10,0,3,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,15,857,182,77,0,0,0,0,0,0,1118,27,0,0,0,0,0,0,0,0,26,77,10,3,0,0,0,0,0,0,93,3362,254,105,0,0,0,3,3,3,3730
ILOC10700703,623,105,82,0,0,0,0,0,3,811,11,0,0,0,0,0,0,0,0,13,61,4,4,0,0,0,0,0,0,67,2464,228,100,0,0,0,0,0,4,2794,811,33,4,0,0,0,0,0,0,854,1043,84,11,0,0,0,0,0,0,1135,434,50,71,0,0,0,0,0,3,561,100,56,15,0,0,0,0,0,0,171,126,10,3,0,0,0,0,0,0,137,3,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,15,686,122,87,0,0,0,0,0,3,901,15,0,0,0,0,0,0,0,0,14,61,7,4,0,0,0,0,0,0,72,2611,248,112,0,0,0,0,0,4,2970
ILOC10700704,90,0,7,0,0,0,0,0,4,103,5,4,40,0,0,0,0,0,0,51,15,0,3,0,0,0,0,0,0,15,538,21,99,0,0,0,0,0,3,670,242,14,52,0,0,0,0,0,0,311,199,0,0,0,0,0,0,0,0,199,55,0,3,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,30,18,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,4,106,0,7,0,0,0,0,0,4,114,5,4,40,0,0,0,0,0,0,51,15,0,3,0,0,0,0,0,0,15,570,21,99,0,0,0,0,0,3,696
ILOC10700705,1712,815,880,0,0,0,17,17,15,3441,51,78,88,0,0,0,0,0,0,220,139,69,52,0,0,0,3,3,0,265,6381,1393,1414,0,0,0,42,43,25,9262,1997,228,192,0,0,0,10,10,0,2428,2637,216,207,0,0,0,14,14,5,3084,1279,444,748,0,0,0,13,15,13,2493,262,290,84,0,0,0,0,0,0,641,288,65,51,0,0,0,0,0,3,405,12,56,29,0,0,0,0,0,0,104,21,8,11,0,0,0,0,0,0,36,24,10,3,0,0,0,0,0,0,40,1891,872,927,0,0,0,17,22,14,3726,52,78,93,0,0,0,0,0,0,220,152,76,53,0,0,0,3,3,0,284,6729,1471,1462,0,0,3,43,45,27,9736
ILOC10700706,535,512,5,0,0,0,0,0,0,1059,11,5,0,0,0,0,0,0,0,16,50,22,0,0,0,0,0,0,0,80,2263,644,10,0,0,0,0,0,0,2916,548,38,0,0,0,0,0,0,0,584,1201,69,0,0,0,0,0,0,0,1274,293,103,4,0,0,0,0,0,0,394,191,435,0,0,0,0,0,0,0,624,103,23,0,0,0,0,0,0,0,123,3,21,0,0,0,0,0,0,0,26,12,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,13,606,576,5,0,0,0,0,0,0,1189,11,5,0,0,0,0,0,0,0,16,50,25,0,0,0,0,0,0,0,80,2415,715,10,0,0,0,0,0,0,3143
ILOC10700707,785,816,102,15,0,3,0,13,37,1748,20,9,0,0,0,0,0,0,60,90,113,41,10,3,0,0,0,3,7,168,4200,1638,203,30,0,3,0,31,122,6196,1382,250,33,16,0,0,0,16,13,1696,1968,537,64,0,0,0,0,0,3,2568,651,513,72,0,0,3,0,3,12,1252,27,245,14,0,0,0,0,0,0,280,128,76,10,0,0,0,0,0,0,220,3,8,4,0,0,0,0,0,15,23,19,9,6,8,0,0,0,8,0,45,21,3,0,3,0,0,0,3,10,35,847,859,110,15,0,3,0,13,40,1865,20,6,0,0,0,0,0,0,60,94,115,43,10,3,0,0,0,3,7,172,4337,1694,217,28,0,3,0,34,122,6398
ILOC10700708,1498,925,21,0,0,3,6,13,10,2468,33,15,0,0,0,0,0,0,0,47,125,57,3,0,0,0,0,0,3,183,4976,2000,35,0,3,6,6,12,17,7040,1330,325,3,0,0,0,0,0,3,1658,2064,687,8,0,0,3,0,3,6,2769,718,523,23,0,0,0,6,7,7,1277,707,356,0,0,0,0,0,0,0,1065,164,79,3,0,0,0,0,0,0,245,17,4,0,0,0,0,0,0,0,25,31,5,0,0,0,0,0,0,0,38,22,13,0,0,0,0,0,0,0,34,1664,982,28,0,0,3,6,13,10,2689,33,18,0,0,0,0,0,0,0,49,134,54,3,0,0,0,0,0,3,197,5221,2073,35,0,3,6,6,12,17,7358
ILOC10700709,854,394,86,0,0,0,0,0,5,1345,18,7,0,0,0,0,0,0,0,24,82,29,4,0,0,0,0,0,4,117,3325,667,125,0,0,0,0,0,13,4126,729,72,10,0,0,0,0,0,0,808,1702,173,20,0,0,0,0,0,3,1894,494,193,33,0,0,0,0,0,3,722,283,184,49,0,0,0,0,0,3,522,130,28,3,0,0,0,0,0,0,159,6,3,0,0,0,0,0,0,0,18,16,7,0,0,0,0,0,0,0,18,17,4,0,0,0,0,0,0,0,19,952,414,89,0,0,0,0,0,6,1463,18,4,0,0,0,0,0,0,0,27,87,29,4,0,0,0,0,0,4,127,3490,693,126,0,0,0,0,0,10,4319
ILOC10700710,692,128,6,0,0,0,0,0,0,827,16,0,0,0,0,0,0,0,0,14,85,10,0,0,0,0,0,0,0,88,4263,241,9,0,0,0,6,6,0,4512,1321,37,0,0,0,0,0,0,0,1353,2283,74,0,0,0,0,3,3,0,2358,492,92,6,0,0,0,0,0,0,587,62,26,0,0,0,0,0,0,0,90,191,16,0,0,0,0,0,0,0,205,4,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,8,766,134,6,0,0,0,0,0,0,903,16,0,0,0,0,0,0,0,0,14,92,10,0,0,0,0,0,0,0,95,4469,248,9,0,0,0,8,8,0,4732
