ILOC_CODE_2016,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
ILOC10701201,0,34,0,31,3,93,3,100,0,51,0,56,3,31,0,35,3,60,0,62,0,54,0,57,4,40,3,43,3,37,0,42,6,17,0,23,24,414,8,442,0,35,0,33,0,103,6,108,0,55,3,58,0,43,0,43,0,43,0,50,4,50,4,61,3,54,0,61,6,27,0,34,7,19,3,28,29,429,16,473,0,62,0,69,10,198,6,212,0,107,0,108,3,73,0,76,3,104,0,106,4,110,6,120,8,91,3,103,5,65,0,71,18,32,3,52,48,845,24,918
ILOC10701301,0,10,0,13,3,56,3,58,0,43,0,43,0,23,0,27,0,35,0,42,4,25,0,23,9,18,0,27,4,22,0,24,3,8,0,12,19,241,4,269,0,13,0,13,3,45,0,49,0,21,0,22,0,39,0,37,0,32,0,31,0,31,0,33,5,25,0,26,3,8,0,13,3,13,0,19,16,222,3,243,0,22,3,23,3,97,3,108,0,57,0,61,0,60,0,61,0,68,0,72,3,52,0,58,7,45,0,53,5,27,0,38,9,24,0,29,34,462,11,508
ILOC10701401,0,19,0,19,3,34,0,32,4,21,0,24,0,28,0,33,0,32,0,34,0,21,0,23,3,24,0,28,4,19,0,22,3,9,0,13,14,196,3,219,0,27,0,27,4,60,0,58,0,30,0,30,0,21,0,27,0,38,0,38,0,37,0,36,4,32,0,32,0,25,0,23,6,14,0,22,19,273,0,291,0,44,0,44,5,86,0,95,4,51,0,51,0,55,0,57,0,67,0,73,3,49,0,57,6,52,0,64,5,39,3,49,10,25,0,33,34,469,7,508
ILOC10701402,0,7,0,13,0,29,0,29,0,14,0,14,0,11,0,15,0,21,0,21,0,18,0,16,0,17,0,20,0,5,0,9,0,5,0,8,4,132,3,142,0,8,0,8,0,36,0,36,0,16,0,16,3,15,0,17,0,16,0,18,0,19,0,23,0,15,0,17,0,14,0,15,3,4,0,6,8,145,3,154,0,14,0,14,0,64,0,64,0,34,0,34,3,27,3,27,0,39,0,40,3,31,0,37,3,33,0,34,0,17,0,27,3,4,4,10,9,277,10,298
ILOC10701501,0,18,0,15,3,38,0,44,0,15,0,15,0,21,3,23,0,28,0,31,0,17,0,23,0,16,0,21,0,23,0,26,3,5,0,12,9,185,8,202,0,13,0,15,3,39,0,39,0,20,0,20,0,9,0,14,0,25,0,23,0,20,0,20,0,31,0,36,0,13,0,13,3,9,3,14,9,183,3,189,0,26,3,34,4,79,0,83,0,33,0,33,3,30,3,35,0,53,0,53,0,36,0,36,3,49,0,53,0,38,0,39,3,15,3,22,19,362,10,394
ILOC10701502,0,153,3,156,29,303,4,336,24,138,5,159,4,105,3,110,6,144,0,152,8,111,3,128,4,84,0,96,15,62,0,84,14,43,0,62,114,1137,27,1278,0,156,4,159,16,297,7,317,5,153,3,167,4,99,0,110,9,147,6,156,11,127,6,146,23,109,0,134,12,85,7,100,16,41,3,54,93,1211,36,1340,7,305,5,317,44,599,15,650,29,293,8,327,12,200,3,218,13,289,6,307,22,242,9,268,25,198,3,225,27,149,9,183,31,81,3,114,213,2354,60,2626
ILOC10701601,0,24,0,32,0,37,3,42,0,7,0,13,0,25,0,28,0,46,0,50,5,27,0,33,7,26,0,33,7,11,0,21,0,17,0,20,26,224,8,262,0,20,3,24,3,38,0,40,0,12,0,15,0,25,0,26,4,57,0,64,3,34,0,38,5,35,4,43,5,30,3,36,11,13,0,18,28,271,11,311,0,48,0,52,3,73,5,80,3,26,3,25,0,56,0,54,4,103,0,112,7,64,0,77,11,65,7,78,14,46,3,60,14,30,0,42,55,498,18,575
ILOC10701701,4,135,0,144,27,222,6,259,7,93,5,104,6,84,3,95,13,90,5,110,13,89,3,103,9,83,4,96,11,47,4,63,11,43,5,59,108,888,43,1034,0,114,4,119,10,202,7,223,6,92,0,96,3,100,3,108,8,140,0,147,13,99,5,119,15,80,5,106,21,53,4,79,19,49,3,69,100,930,36,1066,4,251,5,263,40,425,18,487,10,180,7,201,6,182,4,201,18,229,9,255,29,189,7,226,28,166,13,203,34,101,11,146,29,91,9,126,206,1818,77,2101
ILOC10701702,3,53,0,56,3,106,3,114,8,52,7,62,0,33,0,37,0,43,0,40,0,36,0,33,3,33,0,38,4,18,0,24,3,10,0,15,26,385,11,420,0,32,0,32,8,91,3,107,0,51,3,50,0,36,0,38,6,54,0,59,3,54,3,56,6,47,0,56,5,27,5,37,6,7,0,13,35,396,16,451,3,82,3,91,14,195,4,220,8,108,7,119,4,72,0,75,9,98,0,102,7,86,3,92,10,84,0,92,8,42,5,58,9,21,0,25,67,780,24,872
ILOC10701801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ILOC10701901,3,43,0,42,9,77,0,87,6,36,0,38,7,49,0,59,4,107,3,121,3,69,0,72,8,63,0,66,6,27,3,35,9,22,0,34,48,493,11,552,0,55,0,56,6,75,0,78,0,40,3,45,0,54,0,59,0,109,3,111,13,65,0,81,7,75,3,92,6,53,3,64,14,22,4,39,48,548,22,624,0,95,0,100,10,148,3,167,8,70,3,86,7,105,7,117,7,215,7,228,15,132,4,150,16,138,3,158,12,86,6,101,21,49,3,70,95,1044,33,1179
ILOC10702001,0,56,0,52,4,107,0,109,0,50,0,45,3,27,0,36,0,60,0,60,0,60,3,63,0,69,0,68,6,41,3,46,7,34,7,42,20,494,9,528,0,43,0,43,6,77,0,83,0,41,0,41,0,44,0,44,3,72,0,77,3,66,4,72,3,50,0,55,0,31,0,34,3,26,4,39,18,463,6,490,0,96,0,96,7,190,0,199,0,87,0,91,3,77,0,80,3,132,0,133,4,122,6,131,6,119,0,124,3,75,3,79,6,61,11,80,37,960,18,1016
ILOC10702002,0,14,0,14,0,43,0,46,0,12,0,18,0,17,3,21,0,8,0,10,0,20,0,28,0,29,0,29,0,15,0,16,4,10,0,13,14,177,6,193,0,13,0,13,0,44,3,42,0,23,0,23,0,14,0,17,0,23,0,22,3,17,0,18,0,16,0,22,0,15,0,15,5,4,0,7,7,172,3,187,0,23,0,23,4,84,0,90,0,37,0,37,0,35,3,37,0,34,0,36,3,39,0,44,6,46,3,53,3,28,0,35,8,19,0,24,22,349,11,377
ILOC10702101,0,5,0,6,0,8,0,15,0,11,0,13,0,20,0,21,3,35,3,39,0,18,0,18,0,23,3,22,6,14,0,22,4,0,0,7,13,136,6,158,0,5,0,5,0,13,0,13,0,13,0,14,0,15,0,11,0,28,3,31,3,22,0,25,0,19,0,20,3,8,0,10,0,3,0,7,11,126,9,141,0,15,0,17,0,23,0,27,0,24,3,27,0,35,0,35,0,60,3,64,3,37,0,38,0,40,3,41,6,25,0,33,6,11,3,14,26,264,15,303
ILOC10702102,0,14,0,14,4,25,0,30,5,15,0,18,0,16,0,14,0,23,0,29,0,15,0,17,0,13,0,17,5,6,3,15,3,3,3,9,15,129,6,154,0,20,0,20,5,40,3,50,0,19,0,19,0,19,0,20,0,28,0,28,0,18,0,19,6,19,0,23,3,9,0,18,4,6,0,12,26,182,6,211,0,32,0,36,11,61,4,77,5,35,0,36,3,29,0,32,3,47,3,56,3,34,3,38,4,33,0,44,6,22,0,29,9,11,4,27,44,312,15,365
ILOC10702103,3,16,0,18,0,54,0,59,0,29,0,29,3,15,0,15,4,16,0,18,3,19,0,28,3,23,0,29,3,11,0,15,3,7,0,6,22,189,10,216,0,18,0,18,0,36,3,38,0,19,0,19,0,19,0,20,0,24,0,26,0,22,0,23,0,27,0,29,3,12,0,17,0,9,0,9,8,194,5,202,3,32,0,38,0,94,4,95,0,45,0,51,3,34,0,40,3,43,0,43,3,46,3,48,7,55,0,54,3,20,4,30,3,14,0,17,23,381,11,421
ILOC10702104,0,20,0,18,0,17,0,17,0,10,0,13,0,9,0,15,0,24,3,26,0,9,0,13,3,14,0,18,4,19,0,19,10,13,0,16,14,129,3,148,0,8,0,8,3,7,0,11,0,6,0,9,0,11,0,11,0,15,3,24,0,10,0,12,5,10,0,22,3,12,0,15,3,8,0,11,12,93,10,117,0,27,3,31,3,26,4,33,0,20,0,23,0,23,0,27,0,41,8,49,0,20,3,26,7,28,0,35,5,25,0,32,6,17,0,28,29,224,15,269
ILOC10702201,0,94,0,94,25,149,3,174,9,71,4,89,5,57,39,104,3,81,58,144,4,68,42,109,7,53,18,80,3,26,0,29,3,12,0,15,61,605,166,834,0,83,4,82,15,146,0,156,3,66,0,78,0,64,19,82,6,99,27,131,5,60,32,93,6,50,8,67,4,27,3,35,0,15,0,17,44,607,95,742,4,175,3,180,34,291,3,330,15,142,11,166,5,122,55,180,7,183,87,277,12,122,70,202,13,107,24,144,11,56,6,72,7,30,0,36,107,1220,263,1580
ILOC10702202,0,42,0,42,7,46,3,60,0,36,0,37,0,24,0,26,0,28,0,32,0,26,0,24,0,13,0,16,3,13,0,12,0,8,0,4,13,234,12,265,0,27,3,32,4,52,0,60,3,34,0,38,0,27,3,26,0,30,0,30,0,38,0,34,0,26,0,27,0,23,0,19,0,3,0,3,5,252,15,271,0,69,0,71,12,103,3,122,6,71,0,79,0,51,3,53,0,59,0,63,0,59,0,63,0,38,3,46,3,33,0,37,0,7,0,9,22,494,20,536
ILOC10702203,0,78,4,84,15,143,0,164,3,69,3,70,3,68,0,74,6,75,3,84,3,50,0,54,5,51,5,55,4,37,0,44,3,17,0,22,46,583,21,652,0,63,3,65,4,132,4,133,0,72,0,73,0,58,0,58,0,79,0,78,6,82,4,96,5,57,0,63,16,22,0,35,14,31,0,46,43,592,13,649,3,140,3,151,20,275,5,302,4,142,4,145,3,127,0,129,4,148,3,160,11,134,4,146,8,105,3,118,18,55,4,82,18,47,0,60,92,1176,34,1298
ILOC10702204,0,129,3,131,28,171,3,198,4,80,0,82,3,58,3,62,3,97,4,107,7,68,0,74,10,68,0,74,7,39,3,47,5,24,0,28,62,727,19,804,3,97,0,96,12,174,3,189,3,74,3,79,7,74,0,80,10,126,5,132,7,86,3,90,3,68,0,68,8,39,0,50,14,16,0,33,55,751,16,827,3,229,3,233,38,339,7,385,11,154,3,166,9,127,3,147,11,223,6,239,11,150,7,161,8,132,0,143,19,75,5,99,16,43,0,59,121,1477,34,1636
ILOC10702205,0,94,3,98,22,123,3,143,6,58,0,66,6,69,3,78,8,80,4,87,9,66,3,78,5,50,4,54,4,34,3,43,5,16,3,26,56,585,27,668,5,79,3,84,7,124,3,131,3,65,0,73,0,76,0,81,8,84,3,98,10,63,5,76,12,66,4,78,5,31,0,38,14,16,3,34,70,599,24,697,4,172,10,181,27,243,10,282,13,121,8,134,10,143,9,158,20,163,5,185,15,134,5,159,12,111,7,135,10,62,3,79,22,36,4,57,134,1179,55,1369
ILOC10702206,0,51,0,50,12,107,3,127,3,64,0,69,0,43,0,51,0,57,0,55,3,49,0,53,4,41,0,40,0,20,0,29,0,6,0,12,36,438,3,479,0,38,6,45,7,90,0,96,6,46,0,53,0,44,0,44,3,42,0,44,4,56,0,58,0,43,3,44,0,25,0,27,3,14,3,22,19,403,14,428,0,93,3,98,18,197,3,220,8,112,3,120,0,84,0,92,3,103,0,103,3,108,0,114,4,79,3,89,3,52,0,54,4,22,3,27,52,845,15,906
ILOC10702207,0,21,0,22,6,39,0,44,0,16,0,21,0,19,0,22,4,17,3,23,3,19,0,20,0,20,0,20,0,15,0,15,0,10,0,9,21,160,4,184,0,17,0,16,3,50,0,54,0,22,0,20,3,11,13,25,0,22,30,51,3,35,13,48,0,14,0,22,0,12,0,14,5,15,0,16,17,200,55,274,0,40,0,38,9,86,0,98,5,41,0,45,3,29,13,48,4,44,26,75,6,52,13,72,0,29,4,35,0,29,0,28,8,20,0,24,41,367,62,461
ILOC10702301,0,21,0,21,9,40,3,52,0,19,0,19,0,15,0,19,0,26,0,24,0,17,0,22,0,22,0,24,3,14,6,19,0,10,0,15,18,187,6,214,0,20,0,20,0,29,0,34,0,23,0,22,0,22,0,19,0,23,0,23,0,29,0,26,0,25,0,27,9,21,0,24,8,22,0,31,16,212,7,231,0,43,0,43,14,70,3,83,0,38,0,42,0,36,0,38,0,52,0,50,3,48,0,52,0,50,0,51,8,29,5,41,6,31,0,39,35,394,15,443
ILOC10702302,5,76,7,82,3,125,3,130,5,69,10,83,3,81,35,123,5,83,77,168,0,71,64,132,6,60,28,97,6,41,19,63,9,24,7,41,47,628,256,932,0,57,5,65,0,126,3,132,0,67,0,72,0,92,3,90,6,123,0,130,5,86,0,95,12,69,4,78,5,45,4,60,14,41,0,52,42,701,26,769,5,133,12,147,8,248,9,267,5,139,12,153,3,175,38,219,7,207,82,296,11,155,69,228,15,127,31,181,18,81,22,117,25,65,7,95,94,1333,281,1703
ILOC10702401,0,33,0,34,4,65,0,64,0,24,0,27,0,37,3,45,0,61,0,63,3,51,0,55,3,33,0,41,0,24,0,25,3,7,3,16,17,341,15,373,0,37,0,37,0,43,0,43,0,27,0,26,0,37,0,38,4,64,0,66,3,51,0,50,3,48,3,48,0,28,0,30,3,17,0,22,11,354,3,372,0,71,0,72,4,106,0,112,0,54,0,59,0,80,5,85,4,124,0,124,10,98,0,107,3,77,6,91,3,53,0,54,9,30,3,40,33,693,15,741
ILOC10702501,0,70,0,68,0,105,5,111,5,45,3,52,0,39,0,44,3,85,5,92,3,66,3,73,6,58,0,65,6,40,3,48,11,32,0,44,33,542,19,597,0,45,8,56,3,97,0,104,3,48,3,61,3,54,0,58,3,73,4,79,3,65,0,67,0,59,3,65,0,51,0,52,15,40,0,53,34,528,25,585,5,115,9,123,5,206,10,217,6,97,10,114,3,93,0,96,9,156,8,168,10,127,3,137,3,123,4,130,7,87,5,101,22,71,3,93,63,1069,48,1180
ILOC10702502,0,69,3,68,12,151,3,162,6,55,0,67,5,38,0,42,0,69,0,68,0,62,3,61,11,64,0,73,4,47,0,49,11,20,0,35,49,573,12,637,0,70,3,71,3,142,0,147,0,49,0,48,0,41,3,43,4,87,0,91,0,81,3,88,4,53,0,54,7,43,0,51,6,15,5,24,30,572,15,620,3,136,5,143,16,284,3,303,8,105,3,114,3,79,3,89,4,153,4,163,0,143,5,149,16,119,0,132,13,87,3,101,16,40,8,57,81,1145,29,1256
ILOC10702601,0,34,0,34,4,64,4,80,3,47,0,48,3,50,4,53,6,93,3,105,5,65,0,69,4,49,3,58,5,30,3,41,5,22,0,26,37,450,21,514,0,39,0,39,0,84,8,93,0,40,3,44,0,64,0,63,4,83,0,90,3,64,3,71,13,70,0,79,6,29,0,38,13,18,4,36,32,495,22,558,0,67,0,69,4,154,15,171,3,89,6,95,3,117,3,122,9,177,8,195,8,135,3,145,21,118,3,141,9,59,5,80,21,39,7,60,74,951,48,1068
ILOC10702602,0,15,0,18,3,21,0,29,3,10,0,10,0,25,3,24,3,69,3,75,4,67,3,77,8,45,3,50,6,16,3,28,4,10,0,12,27,277,15,320,0,4,0,5,0,19,0,27,0,21,0,23,0,16,0,16,0,43,4,50,0,25,0,30,0,22,3,28,3,18,0,21,7,7,0,16,12,174,15,199,0,16,0,20,3,42,3,50,3,24,0,28,0,32,3,39,3,114,5,122,5,95,4,101,5,63,5,80,11,32,3,44,6,22,0,26,44,450,27,523
ILOC10702603,0,24,0,20,3,48,0,49,3,16,0,26,0,25,0,28,3,42,3,45,4,31,0,38,0,29,0,32,7,18,3,28,0,10,0,12,30,240,5,279,0,15,0,13,0,45,0,45,0,25,3,31,0,25,0,25,3,57,0,58,7,20,4,31,5,32,3,43,9,25,0,35,7,15,0,16,32,264,9,306,0,37,0,36,5,89,0,98,4,46,3,57,0,53,0,58,7,94,3,106,13,57,4,69,5,64,4,72,16,45,0,61,9,21,0,24,60,507,14,583
ILOC10702604,0,9,0,14,0,3,0,7,0,3,0,3,0,5,0,5,3,21,0,28,0,19,3,24,3,15,0,21,0,20,0,25,3,8,0,14,13,108,3,124,0,8,0,6,0,7,0,10,0,3,0,3,0,12,0,17,0,25,0,20,0,14,0,21,4,17,0,16,6,13,0,19,0,6,0,12,15,106,3,119,0,17,3,17,0,14,0,11,0,6,0,6,0,22,0,21,3,43,0,45,3,33,3,42,5,35,0,42,5,34,0,35,3,14,0,19,26,211,11,247
ILOC10702701,0,5,0,8,0,19,0,19,0,10,0,10,0,10,0,10,0,19,0,19,0,10,0,10,0,13,0,13,4,8,0,10,3,3,0,7,3,111,0,120,0,18,0,18,0,29,0,27,0,7,0,7,0,21,0,21,0,23,0,27,0,21,0,21,3,20,0,24,0,6,0,12,3,5,0,6,10,154,0,162,0,28,0,29,0,49,0,51,0,22,0,22,0,30,0,29,0,45,0,45,0,31,0,35,3,31,0,35,3,20,0,20,3,11,0,14,13,265,0,283
ILOC10702702,0,9,0,9,0,14,0,14,0,5,0,3,0,4,0,5,0,17,0,17,0,9,0,9,0,6,0,6,0,8,0,7,0,5,0,5,3,69,0,69,0,6,0,6,0,7,0,7,0,3,0,3,0,7,0,7,0,12,0,12,0,11,0,12,0,7,0,10,0,11,0,11,7,5,0,7,8,67,0,74,0,12,0,12,0,21,0,21,0,10,0,7,0,18,0,16,0,28,0,28,0,12,0,14,0,11,0,11,0,13,0,16,7,6,0,15,10,136,0,146
ILOC10702703,0,21,0,21,0,37,0,39,0,12,0,12,0,17,0,21,0,24,0,29,0,23,0,22,0,29,0,30,0,18,0,16,3,12,0,13,13,187,5,206,0,15,0,15,3,42,0,40,0,20,0,22,0,11,0,11,0,29,0,29,0,32,0,39,3,18,0,26,4,11,0,16,7,10,0,16,17,194,0,209,0,31,0,33,0,75,0,81,0,31,0,29,0,36,0,34,0,55,0,60,0,57,0,57,3,49,0,53,9,24,0,31,4,22,0,22,23,383,4,414
ILOC10702704,0,4,0,3,0,6,0,6,0,8,0,8,0,11,0,12,0,7,0,10,0,6,0,6,0,6,0,5,0,3,0,3,0,3,0,5,3,55,0,64,0,3,0,3,0,10,0,10,0,8,0,13,0,6,0,7,0,3,0,3,4,4,0,10,0,8,0,8,0,3,0,8,0,3,0,3,3,48,0,57,0,4,0,8,0,21,0,21,0,15,0,13,0,18,0,21,0,15,0,12,4,9,0,14,0,13,0,13,0,9,0,7,0,3,0,11,9,105,7,116
ILOC10702801,0,6,0,6,0,29,0,29,0,23,0,22,0,10,0,10,0,18,0,17,3,13,0,22,0,11,0,9,0,9,0,9,3,3,0,5,11,124,3,140,0,4,0,8,0,21,0,23,0,10,0,10,0,14,0,12,3,21,0,21,0,15,0,15,0,12,0,13,0,9,0,9,0,9,0,8,3,107,4,114,0,15,0,13,0,47,0,48,0,33,0,31,0,20,0,24,3,42,0,40,3,30,0,35,3,17,0,23,0,21,0,21,3,8,0,19,14,231,9,250
ILOC10702802,0,13,3,13,0,13,0,13,0,7,0,7,0,3,0,3,0,25,0,25,0,28,3,26,0,19,0,19,3,7,0,11,0,3,0,6,3,120,3,131,0,10,0,10,0,7,0,11,0,9,0,11,0,6,0,6,0,42,0,42,0,19,0,19,0,10,0,10,0,12,0,12,3,3,0,11,4,119,0,126,0,18,3,21,0,23,0,21,0,17,0,16,0,13,0,13,0,67,0,67,0,44,3,49,0,27,0,27,3,19,0,22,4,7,0,15,10,243,8,254
ILOC10702901,0,77,0,80,20,181,0,200,10,93,3,107,7,54,0,58,3,75,0,78,3,61,0,69,5,71,0,79,11,35,3,49,10,25,0,34,66,675,11,745,3,72,3,78,7,166,5,181,3,98,3,103,0,51,3,52,5,81,3,85,0,89,0,93,8,63,3,72,7,49,3,57,9,25,0,41,48,693,23,761,3,151,3,157,26,342,5,380,16,188,4,204,7,102,3,112,7,157,3,168,4,151,3,159,8,137,3,145,13,85,3,108,20,48,0,70,109,1367,29,1503
ILOC10703001,3,286,12,299,57,524,26,604,14,273,11,299,8,233,8,249,24,333,10,370,19,240,5,267,17,214,6,244,24,135,3,159,21,84,6,110,195,2323,82,2608,3,276,5,285,18,571,20,602,8,286,10,306,11,234,10,247,14,345,3,365,20,250,3,270,36,259,5,305,26,162,12,202,45,106,13,166,177,2485,78,2746,11,555,21,584,74,1093,41,1206,21,561,20,604,16,464,14,499,40,678,14,735,32,498,6,537,52,478,18,545,51,291,12,356,71,188,22,272,375,4805,165,5349
ILOC10703101,0,12,0,12,3,18,0,18,0,4,0,8,0,23,0,23,0,25,0,25,0,25,3,30,3,26,0,24,0,13,0,14,3,7,0,9,7,143,3,150,0,17,0,17,3,17,0,18,0,10,0,10,3,8,0,9,0,24,0,25,0,14,0,15,0,15,0,11,0,7,0,8,0,3,0,3,12,110,0,120,0,25,0,25,7,31,0,34,0,13,0,16,3,25,0,33,0,48,0,47,0,42,0,48,5,37,0,41,0,19,0,23,4,7,0,9,18,251,3,270
ILOC10703102,0,5,0,5,0,23,0,23,0,11,0,11,0,10,0,7,0,15,0,13,0,9,0,6,0,4,0,7,0,3,0,5,0,0,0,0,3,67,6,75,0,0,0,0,0,20,0,20,0,12,0,12,0,3,0,3,0,22,0,22,0,12,0,11,0,11,0,11,0,0,0,0,0,3,0,7,3,78,0,83,0,5,0,5,0,39,0,39,0,24,0,24,0,10,0,9,0,29,0,31,0,16,0,20,0,15,0,12,0,3,0,5,0,8,0,7,5,146,6,160
ILOC19499494,0,25,0,26,0,25,3,28,0,23,9,26,4,40,23,60,8,69,42,114,10,53,59,122,9,36,56,98,3,19,22,41,4,7,5,22,31,296,215,538,0,17,3,16,0,24,3,26,0,26,5,27,3,34,10,47,3,23,18,43,3,24,27,50,4,16,23,42,5,14,14,34,0,5,7,10,20,177,106,301,0,43,3,44,0,48,6,53,0,43,14,53,5,71,30,103,6,93,60,160,10,80,78,172,13,53,79,140,14,32,34,76,3,19,13,35,50,475,315,839
ILOC19799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,3,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,3,0,0,0,0,3,10,0,13
ILOC20100101,0,23,0,27,3,37,3,42,0,12,0,15,0,12,0,11,3,18,0,23,0,15,0,21,0,15,0,13,0,11,0,9,0,3,0,4,10,143,16,167,0,15,3,14,0,33,0,37,4,22,0,23,0,16,0,21,0,19,3,22,0,16,0,17,0,15,0,19,0,10,0,16,4,0,0,4,13,144,8,167,0,35,3,43,3,74,3,79,3,34,0,40,0,31,3,30,3,40,7,48,3,30,4,33,3,30,0,37,4,16,4,23,3,0,0,6,25,291,23,337
ILOC20100102,0,30,0,30,3,41,3,46,0,11,0,12,0,27,0,28,5,36,0,39,6,30,4,35,6,28,0,37,0,7,0,13,3,6,0,7,28,206,15,249,0,25,3,29,3,39,3,46,0,21,0,23,0,17,0,19,0,35,0,36,0,21,0,21,3,25,0,33,3,12,0,19,3,11,0,17,20,201,11,232,0,54,3,56,4,83,10,93,3,29,0,32,0,46,0,49,9,70,3,75,6,50,4,56,7,54,3,63,4,19,4,28,11,15,0,22,47,410,27,479
ILOC20100201,4,51,0,55,10,82,0,91,3,29,0,39,3,31,0,32,0,39,0,38,3,50,4,53,0,33,3,37,4,8,0,15,5,16,0,24,28,346,11,383,0,55,0,52,11,107,0,114,3,27,0,31,3,30,0,32,0,38,0,40,3,45,0,48,7,43,0,50,3,16,0,20,3,5,0,13,27,365,6,401,4,100,0,103,15,187,5,200,6,63,3,70,3,57,0,67,3,77,0,78,6,96,4,100,7,78,3,87,8,26,0,34,12,24,0,39,51,708,15,781
ILOC20100301,3,51,3,55,18,100,0,118,6,55,0,61,5,46,3,60,3,61,0,66,3,49,0,59,9,49,0,52,5,17,0,20,3,13,0,10,50,441,5,501,0,58,0,58,8,97,3,105,7,43,0,48,0,50,0,49,3,63,0,64,4,50,7,51,4,56,0,66,7,23,3,31,9,14,0,19,35,457,14,501,3,110,3,111,24,195,3,223,12,98,0,108,6,93,3,104,3,131,0,133,4,97,7,109,12,102,3,116,7,39,0,50,10,23,0,35,82,893,23,1002
