ILOC_CODE_2016,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
ILOC10702601,3,40,3,48,3,47,3,53,4,96,3,105,7,62,0,69,13,44,3,58,3,28,4,41,3,26,0,26,40,342,22,404,0,34,9,44,4,59,3,63,18,69,4,90,14,57,3,71,13,57,11,79,3,29,4,38,4,18,8,36,65,326,39,427,5,74,7,95,10,113,5,122,19,165,4,195,28,114,6,145,28,98,12,141,10,59,5,80,9,45,11,60,100,670,55,824
ILOC10702602,0,10,0,10,0,24,0,24,4,65,3,75,8,64,3,77,6,41,5,50,3,20,3,28,0,10,0,12,31,237,15,282,3,14,4,23,0,11,0,16,3,41,9,50,8,22,0,30,7,19,0,28,7,17,0,21,0,11,0,16,27,136,15,173,3,22,5,28,4,34,3,39,8,105,8,122,13,84,7,101,13,62,6,80,9,35,4,44,4,23,0,26,54,372,26,448
ILOC10702603,7,18,3,26,0,25,0,28,5,36,3,45,3,33,0,38,0,24,3,32,4,24,4,28,3,9,0,12,22,173,17,208,0,26,5,31,3,24,0,25,11,46,3,58,4,17,3,31,10,27,0,43,7,26,3,35,3,13,0,16,47,180,16,241,8,41,10,57,5,50,0,58,12,83,8,106,14,55,3,69,13,54,5,72,11,49,5,61,3,23,0,24,66,356,28,450
ILOC10702604,0,0,0,3,0,5,0,5,3,19,3,28,0,17,3,24,0,20,0,21,4,20,0,25,3,10,0,14,14,89,8,110,0,3,0,3,0,12,0,17,4,21,0,20,5,12,0,21,3,17,0,16,3,12,0,19,0,3,3,12,22,78,7,106,0,9,0,6,0,16,0,21,6,40,4,45,7,29,4,42,8,28,0,42,6,27,0,35,3,14,6,19,33,164,12,213
ILOC10702701,0,10,0,10,0,10,0,10,0,19,0,19,0,14,3,10,3,9,4,13,0,10,0,10,0,4,0,7,3,85,3,90,0,7,0,7,0,19,0,21,7,22,0,27,5,17,0,21,7,10,0,24,3,11,0,12,0,0,0,6,26,86,7,111,0,22,0,22,0,29,0,29,7,44,0,45,5,24,3,35,12,21,4,35,3,16,0,20,0,12,3,14,26,167,13,207
ILOC10702702,0,3,0,3,0,10,0,5,0,14,0,17,0,6,0,9,0,3,0,6,0,8,0,7,0,3,0,5,8,42,0,50,0,3,0,3,3,9,0,7,0,11,0,12,3,4,0,12,4,3,0,10,0,9,0,11,3,6,0,7,14,47,5,64,0,10,0,7,3,11,0,16,0,25,0,28,3,12,0,14,3,6,0,11,0,13,0,16,3,7,0,15,16,94,5,115
ILOC10702703,5,10,0,12,0,20,0,21,0,28,0,29,0,26,0,22,3,28,0,30,0,16,0,16,4,4,0,13,14,122,3,141,0,19,0,22,0,11,0,11,0,24,3,29,9,27,0,39,7,16,0,26,3,16,0,16,0,8,0,16,20,128,8,154,3,25,0,29,0,36,0,34,6,46,3,60,6,50,0,57,10,45,3,53,9,28,0,31,4,16,0,22,36,250,14,295
ILOC10702704,0,8,0,8,0,12,0,12,0,11,0,10,0,5,0,6,3,4,0,5,0,0,0,3,3,3,0,5,10,40,4,50,0,12,0,13,0,6,0,7,0,3,0,3,4,4,0,10,3,3,0,8,0,4,0,8,0,3,0,3,11,29,0,45,0,13,0,13,3,16,0,21,0,8,0,12,5,13,0,14,5,10,0,13,4,5,0,7,3,5,0,11,18,67,4,92
ILOC10702801,0,23,0,22,0,10,0,10,5,17,3,17,0,17,3,22,3,8,0,9,3,9,0,9,0,10,0,5,12,88,3,105,0,11,0,10,0,12,0,12,0,20,0,21,3,6,0,15,3,8,0,13,3,4,0,9,0,5,0,8,13,75,3,83,3,34,0,31,0,26,0,24,3,36,4,40,7,26,3,35,4,20,0,23,8,17,0,21,0,12,0,19,22,162,7,193
ILOC10702802,0,7,0,7,0,4,0,3,0,25,0,25,3,21,3,26,6,11,0,19,0,9,0,11,3,3,0,6,9,88,4,102,3,7,0,11,0,3,0,6,3,35,0,42,3,13,0,19,3,9,0,10,0,8,0,12,0,4,0,11,17,92,6,112,3,16,0,16,3,12,0,13,3,65,3,67,6,35,3,49,7,21,0,27,3,21,0,22,3,7,0,15,30,180,8,213
ILOC10702901,0,91,7,107,0,53,4,58,6,67,6,78,12,50,3,69,13,62,5,79,8,44,3,49,4,26,0,34,43,392,27,465,7,91,12,103,4,49,0,52,11,73,0,85,17,72,0,93,22,38,8,72,24,30,5,57,4,27,4,41,92,387,30,503,5,180,21,204,9,102,4,112,18,140,7,168,36,120,3,159,37,104,9,145,29,72,5,108,7,57,9,70,134,780,58,970
ILOC10703001,13,252,27,299,14,225,14,249,39,317,18,370,33,216,19,267,38,187,15,244,26,128,4,159,13,90,11,110,182,1415,105,1701,22,259,25,306,23,210,9,247,84,268,8,365,60,198,10,270,70,226,5,305,53,134,9,202,22,121,15,166,332,1433,90,1853,32,513,58,604,35,434,27,499,119,589,25,735,97,413,22,537,110,414,22,545,79,262,14,356,35,212,24,272,511,2843,200,3550
ILOC10703101,3,3,0,8,0,17,0,23,3,19,0,25,3,22,3,30,3,22,0,24,0,13,0,14,0,5,0,9,14,110,3,127,0,10,0,10,0,14,0,9,3,22,0,25,0,13,0,15,4,12,0,11,0,7,0,8,0,3,0,3,7,72,3,85,3,11,0,16,0,32,0,33,7,42,0,47,6,38,3,48,5,29,0,41,3,19,0,23,3,9,3,9,22,181,8,212
ILOC10703102,0,12,0,11,0,10,0,7,0,11,0,13,3,3,0,6,0,7,0,7,0,0,0,5,0,0,0,0,5,44,3,56,0,13,0,12,0,3,0,3,3,20,0,22,0,5,0,11,4,5,0,11,0,0,0,0,0,3,0,7,10,53,0,61,3,25,0,24,0,10,0,9,3,27,0,31,3,16,0,20,4,10,0,12,0,0,0,5,0,7,0,7,12,91,5,112
ILOC19499494,4,16,10,26,3,38,19,60,10,54,47,114,7,51,61,122,10,28,56,98,0,17,24,41,0,9,6,22,38,218,229,485,5,23,3,27,3,31,17,47,3,24,21,43,10,16,25,50,6,14,25,42,8,16,12,34,3,8,7,10,35,121,108,257,7,38,12,53,3,66,36,103,18,82,68,160,18,65,88,172,17,41,86,140,8,29,35,76,3,18,16,35,69,336,331,739
ILOC19799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,3,0,0,0,0,0,8,0,8
ILOC20100101,0,15,0,15,0,9,0,11,4,17,0,23,3,13,0,21,0,9,0,13,0,11,3,9,0,4,0,4,8,79,11,100,0,21,0,23,3,17,0,21,3,18,0,22,0,12,0,17,3,13,0,19,0,8,4,16,0,3,0,4,12,97,3,120,0,37,0,40,3,27,0,30,5,40,4,48,7,26,4,33,5,30,0,37,3,18,4,23,0,5,0,6,27,176,19,217
ILOC20100102,0,10,0,12,0,30,3,28,4,39,0,39,7,23,3,35,4,32,0,37,3,7,0,13,0,6,0,7,16,141,11,170,0,15,0,23,0,20,0,19,3,34,0,36,7,12,0,21,4,20,0,33,4,11,5,19,0,15,5,17,18,131,11,164,0,28,0,32,0,45,3,49,3,71,0,75,13,32,7,56,8,51,3,63,4,17,8,28,0,16,3,22,38,269,27,326
ILOC20100201,6,28,4,39,0,29,0,32,5,34,0,38,6,39,4,53,10,26,0,37,4,12,0,15,0,19,3,24,34,188,19,242,0,25,3,31,5,26,0,32,4,36,0,40,8,39,0,48,14,38,0,50,4,12,0,20,0,11,3,13,42,182,7,228,5,52,10,70,5,58,0,67,9,65,0,78,18,82,4,100,23,61,5,87,7,24,0,34,4,26,5,39,75,371,23,466
ILOC20100301,5,45,6,61,0,52,3,60,6,60,0,66,7,45,0,59,3,42,4,52,3,14,0,20,3,11,0,10,33,278,11,324,3,44,3,48,8,36,3,49,8,57,3,64,12,39,0,51,16,42,3,66,8,24,3,31,0,18,0,19,58,257,14,338,15,93,7,108,8,96,3,104,20,108,5,133,18,88,4,109,20,85,3,116,13,40,4,50,4,31,0,35,91,537,25,662
ILOC20100401,3,37,3,43,0,38,0,36,3,33,0,42,11,26,3,37,8,25,5,31,5,15,0,17,3,13,3,16,26,185,16,225,3,35,0,39,3,30,3,31,13,39,5,50,11,26,4,39,15,25,4,42,3,4,0,15,3,12,3,16,48,170,13,232,8,69,3,73,3,65,3,69,14,70,6,92,23,58,3,85,17,51,7,72,10,21,3,33,3,20,6,37,79,350,29,461
ILOC20100402,3,46,7,50,5,31,0,34,0,36,3,39,12,36,4,52,3,35,4,42,4,21,3,29,3,20,6,26,31,234,18,281,0,34,3,35,3,40,0,47,5,55,3,69,14,43,3,62,9,21,3,33,6,23,4,30,0,19,3,27,48,232,20,300,9,75,11,94,7,72,0,82,10,93,4,112,28,80,10,115,7,64,7,79,10,45,3,57,3,36,6,52,73,460,44,577
ILOC20100501,0,20,3,27,4,29,0,30,3,30,0,34,0,30,0,36,4,36,4,41,5,15,0,18,3,12,3,19,26,172,12,207,3,18,5,27,0,24,0,23,3,27,5,38,6,29,3,34,8,30,0,43,4,11,0,17,5,12,9,22,34,159,20,214,3,44,3,52,3,50,0,57,9,61,5,73,10,61,3,71,13,64,3,82,10,28,0,44,9,23,6,41,61,329,28,413
ILOC20100502,0,20,5,26,0,16,0,16,3,16,0,21,5,15,0,22,0,20,0,19,0,20,0,23,5,7,0,15,20,120,7,145,0,24,0,21,0,16,0,22,6,23,0,26,9,27,0,34,10,24,0,32,6,14,3,21,0,7,0,12,31,129,3,167,3,45,5,49,3,31,0,41,9,41,3,54,16,42,0,59,11,43,0,49,10,31,3,43,5,21,0,24,52,251,16,315
ILOC20100503,7,46,3,49,3,31,4,39,6,43,7,56,10,39,6,54,6,38,0,47,4,18,0,19,3,19,0,25,39,242,20,302,3,30,5,35,6,29,0,36,12,48,0,62,13,46,0,57,14,38,0,57,4,22,4,31,3,25,4,32,57,241,13,309,5,76,5,90,10,68,4,80,15,98,7,119,22,84,6,111,25,80,0,106,11,40,4,52,7,41,7,50,95,479,29,607
ILOC20100601,0,27,0,27,3,22,3,22,0,22,0,21,0,31,6,39,0,23,0,23,0,15,0,15,3,7,4,13,9,143,9,164,3,18,0,17,0,19,0,25,6,19,0,29,13,20,4,37,10,21,3,32,11,17,3,29,4,18,7,31,43,131,23,193,3,42,0,46,5,42,5,51,10,42,0,52,14,54,4,71,13,43,6,54,11,28,3,43,4,26,14,47,57,276,30,358
ILOC20100701,3,33,0,39,0,40,4,46,7,26,3,40,3,36,0,48,4,37,0,46,4,25,0,33,0,13,5,18,26,220,11,262,0,41,3,44,0,28,0,31,4,29,0,37,7,28,0,39,11,33,0,38,11,10,5,26,5,18,3,28,46,190,9,244,9,77,5,84,3,72,4,76,11,61,3,79,16,68,0,84,10,68,0,82,19,39,5,54,8,33,5,50,72,413,27,512
ILOC20100801,3,21,3,25,3,14,4,23,11,48,0,51,6,32,4,38,0,22,0,28,0,11,3,16,0,4,4,10,26,148,15,188,0,11,0,16,0,24,0,24,3,34,0,36,8,21,0,27,3,23,0,27,0,16,3,13,0,3,0,3,16,129,3,151,3,32,8,36,3,36,4,48,11,79,0,96,12,51,4,68,8,51,0,57,0,23,3,28,0,11,4,16,44,279,23,341
ILOC20100802,0,18,0,22,8,24,0,28,0,39,0,42,0,22,0,23,0,23,0,27,0,11,0,9,0,7,0,12,12,148,6,167,0,18,0,15,0,15,3,18,5,34,0,41,8,21,0,28,9,22,3,26,3,16,0,21,0,12,0,15,23,123,15,165,0,33,0,37,8,41,3,46,6,68,3,79,10,41,0,55,6,45,3,58,3,21,0,34,3,23,3,23,40,271,16,332
ILOC20100901,0,19,3,26,0,16,0,21,0,26,0,32,3,27,0,33,6,29,4,34,9,21,0,27,3,15,0,17,25,153,10,187,0,28,0,26,5,27,0,29,4,32,0,38,3,26,3,34,5,29,0,32,4,16,0,22,4,10,0,21,27,172,7,202,0,51,4,56,5,45,0,46,6,59,0,71,7,50,3,62,13,54,4,65,12,36,0,50,11,29,0,40,46,326,19,388
ILOC20101001,0,10,0,8,0,7,0,14,0,17,0,17,0,10,0,14,3,11,0,13,6,10,0,15,0,3,0,7,8,64,4,82,0,3,0,4,3,4,0,8,0,7,0,11,0,5,0,7,3,16,3,26,3,3,0,5,0,7,0,12,15,46,7,67,0,12,3,15,3,11,0,17,0,21,0,21,0,17,0,19,6,24,0,40,9,8,0,18,5,9,0,16,21,116,10,145
ILOC20101002,3,21,0,19,5,18,3,20,0,30,4,31,6,20,3,25,3,13,0,19,4,7,0,9,0,7,5,10,18,112,9,137,0,21,4,24,0,16,0,17,0,30,0,30,3,13,0,16,3,11,0,16,6,3,0,13,6,7,0,12,19,98,4,120,3,42,4,47,5,37,0,43,0,52,4,60,3,29,4,38,4,20,0,29,7,12,3,17,3,18,5,23,33,206,20,259
ILOC20101003,0,16,0,18,3,31,0,35,3,59,0,67,3,34,3,41,3,19,0,22,3,20,0,22,0,6,0,6,18,199,11,222,0,11,3,17,7,29,4,37,6,51,5,62,3,30,3,40,7,26,0,32,9,13,0,15,0,10,4,16,29,168,14,215,3,27,0,39,4,59,3,72,13,111,6,124,5,69,4,84,7,42,0,57,10,27,0,44,0,24,4,24,43,365,22,437
ILOC20101101,0,12,5,16,4,21,0,24,0,21,0,26,0,16,0,18,6,20,3,23,3,14,0,23,3,11,3,17,18,116,10,143,0,20,0,21,0,16,0,19,7,29,0,34,0,9,0,15,11,15,0,24,3,17,0,21,0,9,0,8,23,117,4,140,0,32,3,37,4,32,0,43,4,49,3,63,0,29,0,34,13,37,4,49,8,33,0,38,0,18,3,23,37,233,13,291
ILOC20101102,0,10,0,9,0,11,0,8,0,10,0,15,0,4,0,11,4,14,0,15,3,3,0,4,0,4,0,4,14,57,4,75,0,7,0,8,0,12,0,14,0,12,0,12,6,13,0,15,0,3,0,3,0,9,0,9,6,5,3,15,13,57,9,74,3,16,3,24,3,20,0,21,0,18,0,21,7,19,3,28,5,20,0,25,3,10,0,16,6,11,3,18,23,120,11,148
ILOC20101103,0,11,0,9,0,6,0,14,4,10,0,14,3,7,0,13,0,12,0,14,5,5,0,9,4,3,0,3,20,59,0,75,0,9,0,11,0,4,0,4,0,14,0,18,9,8,0,18,3,11,0,17,3,10,0,16,0,9,0,8,18,70,0,89,0,17,0,23,0,15,0,16,6,23,0,27,8,20,0,26,4,26,0,27,9,19,0,23,3,11,0,14,32,128,0,159
ILOC20101104,0,10,0,12,0,10,0,13,3,15,0,16,0,8,0,12,3,9,0,19,3,10,3,15,0,3,0,9,19,69,9,94,3,14,0,17,0,9,0,13,3,26,0,30,3,13,0,21,3,18,0,19,0,6,0,10,5,4,0,11,20,94,3,116,3,25,0,32,3,25,0,26,6,35,0,47,4,23,0,34,8,26,0,33,3,19,3,22,5,6,3,15,33,163,6,209
ILOC20101201,0,16,0,27,0,28,7,34,11,53,22,81,0,27,15,44,3,24,8,32,7,15,0,13,0,12,0,8,18,166,52,242,0,35,0,32,5,43,3,54,3,38,0,41,3,19,0,21,0,16,4,19,0,11,0,12,0,6,3,6,17,165,12,193,0,51,3,56,6,66,9,89,15,91,18,123,3,49,19,65,5,38,6,47,5,23,0,28,0,15,6,18,43,327,68,433
ILOC20101202,0,11,0,11,3,21,0,20,5,52,6,61,0,22,0,29,5,25,4,26,3,11,0,16,0,9,0,14,17,145,12,177,3,13,0,16,5,16,0,19,4,32,0,35,9,31,0,42,7,18,0,22,6,13,0,17,3,6,5,12,30,127,10,161,3,19,0,22,9,34,3,47,7,86,6,96,12,52,0,67,7,38,7,51,6,24,0,31,3,10,5,23,47,268,19,340
ILOC20101203,0,12,0,15,0,20,0,25,4,44,0,49,3,29,4,38,4,24,0,28,3,13,0,16,0,6,0,4,17,140,4,165,0,11,0,13,3,38,0,35,6,41,0,49,0,16,0,18,4,12,0,18,3,14,3,20,3,4,0,9,18,141,3,165,0,19,0,27,4,58,0,64,15,85,0,98,4,50,4,55,6,38,0,42,4,30,3,38,3,6,0,11,36,283,5,329
ILOC20101301,4,50,3,60,8,38,15,59,10,64,33,106,3,55,18,82,7,35,12,48,4,26,3,32,0,13,3,16,39,288,87,408,9,56,5,65,9,47,6,60,19,78,19,113,14,53,20,88,19,46,3,65,12,21,4,35,4,11,4,18,77,310,62,446,14,105,12,131,13,86,21,118,25,148,53,224,21,108,38,166,25,80,12,117,16,50,7,66,3,21,6,33,114,591,149,856
ILOC20101401,0,9,0,11,0,9,0,13,0,12,0,15,0,5,0,10,0,5,0,9,0,3,0,3,0,0,0,3,10,41,3,59,3,7,0,15,0,11,0,13,0,6,0,6,0,15,0,18,5,8,0,15,3,0,0,4,0,6,0,8,15,61,3,81,4,15,0,23,3,23,3,28,0,16,0,18,3,19,0,20,8,19,0,29,3,3,0,4,0,3,3,10,26,102,9,135
ILOC20101402,0,13,0,11,0,4,0,4,0,5,0,9,6,4,0,7,0,7,0,6,0,3,0,8,0,3,0,3,10,37,7,47,0,13,0,14,0,3,0,3,0,5,0,5,0,3,0,3,3,8,0,9,0,0,0,3,0,3,0,4,4,34,0,41,0,25,0,21,0,13,0,13,0,15,0,13,5,3,0,11,6,9,0,14,3,3,3,8,0,4,0,3,12,72,7,89
ILOC20101403,3,8,0,5,0,4,0,4,0,7,3,8,0,6,0,9,0,4,0,7,0,6,0,5,0,7,0,8,6,34,4,51,0,3,0,6,0,5,0,5,0,6,0,6,3,4,0,3,0,3,0,3,3,0,0,6,0,0,0,3,4,24,3,33,4,10,0,11,0,7,0,7,0,7,3,8,3,13,0,16,0,5,0,12,6,6,0,14,0,12,0,11,9,61,9,81
ILOC20101501,0,19,4,19,0,18,3,22,0,29,0,32,3,11,7,22,3,19,0,24,0,10,0,10,0,8,0,14,15,112,13,142,3,22,3,28,3,17,3,19,7,31,0,36,3,23,3,24,9,15,0,24,3,11,3,17,0,14,3,19,26,125,14,169,3,40,8,47,4,37,4,45,11,55,0,69,8,32,8,47,12,35,0,46,5,24,3,32,4,22,3,29,44,244,24,313
ILOC20101502,0,3,3,6,0,14,0,17,3,49,0,57,4,14,0,15,3,4,3,10,0,8,0,11,0,0,6,6,13,90,11,114,0,10,0,10,0,23,0,27,5,38,0,37,3,12,0,10,3,12,4,19,0,6,4,12,0,7,3,14,13,100,12,127,0,10,3,20,0,35,0,41,7,83,0,94,7,19,0,26,9,19,3,29,3,13,3,17,0,7,7,13,24,193,26,243
ILOC20101503,0,7,0,11,0,18,0,18,0,18,4,27,4,12,0,13,0,9,0,5,0,5,0,5,0,4,0,4,5,77,8,91,0,10,0,9,0,12,0,19,3,29,3,35,0,20,0,21,3,15,0,23,0,6,0,8,0,0,0,6,14,96,4,118,0,14,0,17,0,31,0,33,8,47,8,62,6,28,0,33,3,20,3,27,3,13,0,15,0,4,0,10,21,173,13,209
ILOC20101504,0,4,0,9,0,9,0,15,0,27,0,25,3,11,0,9,7,10,0,13,4,10,5,16,0,5,0,3,11,70,6,90,0,11,0,9,0,12,0,11,3,12,0,13,4,8,0,10,7,6,0,17,0,10,0,12,0,10,3,11,17,62,3,87,0,17,0,21,3,19,0,27,3,32,3,42,8,17,0,25,9,19,0,23,6,16,5,25,0,10,4,17,32,137,14,173
ILOC20101601,0,27,3,34,0,32,0,33,3,31,0,36,5,25,0,29,3,15,0,18,5,25,3,31,4,13,0,17,20,168,10,197,0,22,3,30,0,24,0,22,0,31,0,35,4,21,7,35,7,15,3,25,5,11,3,21,0,3,0,3,26,136,16,178,0,50,4,62,0,51,3,61,4,66,5,74,11,47,4,64,12,28,3,43,14,38,4,51,4,13,0,22,47,305,24,370
ILOC20101602,3,16,3,27,0,18,0,17,3,22,0,27,4,20,3,25,0,20,6,32,0,12,0,20,0,7,4,16,17,122,19,165,0,15,4,24,0,9,0,14,3,12,0,19,10,23,0,31,10,13,0,23,6,18,0,24,9,19,3,29,33,118,10,160,3,38,12,50,0,30,0,32,7,40,0,46,10,44,3,60,13,38,5,53,5,32,3,41,6,26,11,48,55,237,27,321
ILOC20101603,0,24,0,24,0,0,0,0,0,8,0,8,4,11,0,16,3,6,0,8,0,13,0,16,0,7,0,10,8,76,0,81,0,20,0,20,0,8,0,8,3,11,0,14,5,17,0,22,6,15,3,21,0,9,0,14,3,10,0,12,17,79,3,104,0,41,0,41,0,10,0,10,3,22,0,25,3,32,0,32,11,25,3,35,4,20,0,25,3,13,0,20,24,150,9,183
ILOC20101701,0,13,0,14,3,17,0,21,3,21,3,32,3,18,0,17,6,11,0,17,0,11,0,14,0,4,0,9,21,90,8,112,0,20,0,17,4,21,0,20,3,31,0,40,0,20,0,24,6,14,0,25,3,10,0,14,0,6,3,6,18,119,5,145,3,25,0,32,3,31,0,43,11,54,0,69,7,31,0,41,14,27,0,40,4,19,0,24,0,13,3,14,35,204,8,255
ILOC20101702,0,35,3,32,6,30,3,40,10,57,6,68,9,31,3,41,3,44,0,49,6,17,0,29,3,16,4,24,32,231,19,283,3,26,5,38,3,45,8,50,13,48,5,60,8,35,4,52,12,47,6,62,8,19,3,30,3,18,6,25,48,239,38,328,3,62,10,75,7,73,9,89,17,108,8,131,19,67,8,98,19,91,11,113,10,39,3,55,3,36,9,50,84,476,58,610
ILOC20101703,6,62,3,74,5,48,5,59,13,104,8,123,7,72,3,88,14,62,3,71,4,42,0,50,0,12,6,14,47,406,20,475,5,62,5,71,7,68,3,79,24,114,4,140,16,81,0,97,14,56,4,75,6,37,3,48,8,21,4,32,80,441,28,548,12,127,5,144,13,115,7,136,39,224,10,266,25,154,3,183,28,115,6,146,14,77,3,100,5,34,6,48,134,841,49,1019
ILOC20101801,0,9,0,13,0,5,0,11,0,6,0,4,0,4,0,4,3,7,0,14,0,0,0,3,3,0,0,3,8,35,6,52,0,3,0,9,0,8,0,10,0,13,0,13,0,9,0,8,0,3,0,7,0,3,0,3,0,5,0,9,4,45,0,50,0,13,3,14,0,16,0,15,0,13,0,14,0,7,0,13,3,12,0,17,3,7,0,7,4,10,0,11,9,83,6,97
ILOC20101802,0,3,0,3,0,4,0,7,0,5,0,5,0,4,0,9,0,8,0,8,3,3,0,3,0,3,0,3,7,31,0,35,0,7,0,7,0,5,0,5,0,8,0,8,0,8,0,9,0,3,0,5,3,9,0,5,0,9,0,13,3,39,0,41,0,3,0,3,0,12,0,16,0,12,0,12,0,15,0,20,0,10,0,9,4,11,0,12,0,10,0,10,9,68,0,84
ILOC20101803,0,3,0,3,0,5,0,9,0,4,0,9,3,3,0,4,0,4,0,8,0,3,0,3,0,3,3,9,11,26,4,40,0,0,0,0,0,0,0,3,0,7,0,11,0,3,0,6,0,5,0,4,0,3,0,7,0,15,0,15,6,30,3,45,0,3,0,5,0,7,0,10,3,11,0,17,3,8,0,11,0,9,3,13,4,5,0,7,0,14,8,22,11,58,9,83
ILOC20101901,0,19,0,16,7,16,0,20,5,32,4,40,3,13,0,16,5,24,0,30,4,19,0,20,0,5,3,9,18,127,8,152,0,14,0,14,0,17,0,18,4,36,0,40,8,21,4,33,6,17,0,18,3,18,0,19,5,10,3,12,23,129,5,162,0,30,0,36,10,26,0,34,5,73,0,82,13,32,6,47,8,38,0,45,9,35,0,47,5,16,3,23,48,255,17,315
ILOC20101902,3,26,5,38,3,28,21,47,6,30,65,97,5,27,34,68,0,17,13,27,7,9,3,19,0,8,0,9,25,155,136,310,4,32,0,40,4,24,0,29,12,28,3,43,10,25,0,32,7,18,3,24,9,5,3,19,0,6,3,7,47,150,13,209,7,62,5,75,3,51,21,79,16,62,62,145,14,53,36,100,6,41,10,56,15,19,3,37,0,15,4,15,68,300,143,515
ILOC20101903,3,42,3,48,0,39,0,39,3,76,0,83,6,34,0,41,4,43,7,49,0,17,3,23,0,14,0,13,19,256,12,293,6,51,0,56,16,36,0,45,15,59,0,75,19,49,0,69,10,38,0,56,6,30,4,38,0,14,3,14,62,274,13,348,9,88,9,104,16,74,0,85,20,135,0,155,21,84,0,104,18,79,9,101,4,48,3,58,0,21,6,30,90,528,23,641
ILOC20102001,8,59,5,71,4,31,4,43,4,74,3,85,7,55,3,63,18,68,3,83,15,38,0,56,0,16,3,21,54,344,23,423,3,77,17,99,3,42,0,51,17,60,3,75,19,53,3,73,17,57,7,78,11,45,3,53,4,43,5,55,77,375,39,488,8,136,29,169,11,78,5,91,22,136,4,159,26,109,7,140,34,119,7,165,18,85,3,105,7,63,8,77,131,718,65,908
ILOC20200101,3,67,8,79,5,70,4,72,11,79,0,90,7,49,0,60,12,43,0,53,9,32,8,40,3,30,4,36,41,365,26,430,7,73,6,90,14,69,5,85,21,88,8,108,16,70,6,88,14,65,5,85,13,28,0,41,9,24,6,35,89,411,34,537,9,144,15,168,15,138,5,157,26,163,11,197,24,118,5,151,25,110,9,136,16,61,6,84,10,48,11,71,131,775,60,971
